LocationID,Locality,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,Bird_MigrantStatus,Bird_SurveyTime,SourceID
3,Anhui Science and Technology University,"Acridotheres cristatellus (Linnaeus, 1758)",Sturnidae,Acridotheres,cristatellus,Species,R,Whole year,107
3,Anhui Science and Technology University,"Motacilla alba (Linnaeus, 1758)",Motacillidae,Motacilla,alba,Species,R,Whole year,107
3,Anhui Science and Technology University,"Pycnonotus sinensis (Gmelin, 1789)",Pycnonotidae,Pycnonotus,sinensis,Species,R,Whole year,107
3,Anhui Science and Technology University,"Turdus naumanni (Temminck, 1820)",Turdidae,Turdus,naumanni,Species,M,Whole year,107
3,Anhui Science and Technology University,"Phoenicurus auroreus (Pallas, 1776)",Muscicapidae,Phoenicurus,auroreus,Species,M,Whole year,107
3,Anhui Science and Technology University,"Dendrocopos major (Linnaeus, 1758)",Picidae,Dendrocopos,major,Species,R,Whole year,107
3,Anhui Science and Technology University,"Cuculus canorus (Linnaeus, 1758)",scolopacea,Cuculus,canorus,Species,M,Whole year,107
3,Anhui Science and Technology University,"Parus major (Linnaeus, 1758)",Paridae,Parus,major,Species,R,Whole year,107
3,Anhui Science and Technology University,"Upupa epops (Linnaeus, 1758)",Upupidae,Upupa,epops,Species,R,Whole year,107
3,Anhui Science and Technology University,"Dicrurus macrocercus (Vieillot, 1817)",Dicruridae,Dicrurus,macrocercus,Species,M,Whole year,107
3,Anhui Science and Technology University,"Gallinula chloropus (Linnaeus, 1758)",Rallidae,Gallinula,chloropus,Species,R,Whole year,107
3,Anhui Science and Technology University,"Eophona migratoria (Hartert, 1903)",Fringillidae,Eophona,migratoria,Species,R,Whole year,107
3,Anhui Science and Technology University,"Amaurornis akool (Sykes, 1832)",Rallidae,Amaurornis,akool,Species,M,Whole year,107
3,Anhui Science and Technology University,"Lanius cristatus (Linnaeus, 1758)",Laniidae,Lanius,cristatus,Species,M,Whole year,107
3,Anhui Science and Technology University,"Acrocephalus aedon (Pallas, 1776)",Acrocephalidae,Acrocephalus,aedon,Species,M,Whole year,107
3,Anhui Science and Technology University,"Charadrius alexandrinus (Linnaeus, 1758)",Charadriidae,Charadrius,alexandrinus,Species,M,Whole year,107
3,Anhui Science and Technology University,"Phasianus colchicus (Linnaeus, 1758)",Jacanidae,Phasianus,colchicus,Species,R,Whole year,107
3,Anhui Science and Technology University,"Emberiza elegans (Temminck, 1836)",Emberizidae,Emberiza,elegans,Species,M,Whole year,107
3,Anhui Science and Technology University,"Phylloscopus inornatus (Blyth, 1842)",Phylloscopidae,Phylloscopus,inornatus,Species,M,Whole year,107
3,Anhui Science and Technology University,"Emberiza chrysophrys (Pallas, 1776)",Emberizidae,Emberiza,chrysophrys,Species,M,Whole year,107
3,Anhui Science and Technology University,"Phylloscopus proregulus (Pallas, 1811)",Phylloscopidae,Phylloscopus,proregulus,Species,M,Whole year,107
3,Anhui Science and Technology University,"Sturnus cineraceus (Temminck, 1835)",Sturnidae,Sturnus,cineraceus,Species,R,Whole year,107
3,Anhui Science and Technology University,"Emberiza spodocephala (Pallas, 1776)",Emberizidae,Emberiza,spodocephala,Species,M,Whole year,107
3,Anhui Science and Technology University,"Cyanopica cyanus (Pallas, 1776)",Corvidae,Cyanopica,cyanus,Species,R,Whole year,107
3,Anhui Science and Technology University,"Streptopelia tranquebarica (Hermann, 1804)",Columbidae,Streptopelia,tranquebarica,Species,M,Whole year,107
3,Anhui Science and Technology University,"Phylloscopus borealis (J.H.Blasius, 1858)",Phylloscopidae,Phylloscopus,borealis,Species,M,Whole year,107
3,Anhui Science and Technology University,"Hirundo rustica (Linnaeus, 1758)",Laridae,Hirundo,rustica,Species,M,Whole year,107
3,Anhui Science and Technology University,"Carduelis sinica (Linnaeus, 1766)",Fringillidae,Carduelis,sinica,Species,R,Whole year,107
3,Anhui Science and Technology University,"Charadrius dubius (Scopoli, 1786)",Charadriidae,Charadrius,dubius,Species,M,Whole year,107
3,Anhui Science and Technology University,"Spizixos semitorques (Swinhoe, 1861)",Pycnonotidae,Spizixos,semitorques,Species,R,Whole year,107
3,Anhui Science and Technology University,"Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Whole year,107
3,Anhui Science and Technology University,"Alcedo atthis (Linnaeus, 1758)",Alcedinidae,Alcedo,atthis,Species,R,Whole year,107
3,Anhui Science and Technology University,"Tringa nebularia (Gunnerus, 1767)",Scolopacidae,Tringa,nebularia,Species,M,Whole year,107
3,Anhui Science and Technology University,"Emberiza cioides (von J.F.Brandt, 1843)",Emberizidae,Emberiza,cioides,Species,R,Whole year,107
3,Anhui Science and Technology University,"Streptopelia orientalis (Latham, 1790)",Columbidae,Streptopelia,orientalis,Species,R,Whole year,107
3,Anhui Science and Technology University,"Sturnus sericeus (Gmelin, 1789)",Sturnidae,Sturnus,sericeus,Species,R,Whole year,107
3,Anhui Science and Technology University,"Cuculus micropterus (Gould, 1838)",scolopacea,Cuculus,micropterus,Species,M,Whole year,107
3,Anhui Science and Technology University,"Turdus merula (Linnaeus, 1758)",Turdidae,Turdus,merula,Species,R,Whole year,107
3,Anhui Science and Technology University,"Pica pica (Linnaeus, 1758)",Corvidae,Pica,pica,Species,R,Whole year,107
3,Anhui Science and Technology University,"Emberiza pusilla (Pallas, 1776)",Emberizidae,Emberiza,pusilla,Species,M,Whole year,107
3,Anhui Science and Technology University,"Alauda gulgula (Franklin, 1831)",Alaudidae,Alauda,gulgula,Species,R,Whole year,107
3,Anhui Science and Technology University,"Corvus corone (Linnaeus, 1758)",Corvidae,Corvus,corone,Species,M,Whole year,107
3,Anhui Science and Technology University,"Dendrocopos canicapillus (Blyth, 1845)",Picidae,Dendrocopos,canicapillus,Species,R,Whole year,107
3,Anhui Science and Technology University,"Fringilla montifringilla (Linnaeus, 1758)",Fringillidae,Fringilla,montifringilla,Species,M,Whole year,107
3,Anhui Science and Technology University,"Streptopelia capicola (Sundevall, 1857)",Columbidae,Streptopelia,capicola,Species,R,Whole year,107
3,Anhui Science and Technology University,"Lanius schach (Linnaeus, 1758)",Laniidae,Lanius,schach,Species,R,Whole year,107
5,Baotou Medical College,"Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Whole year,133
5,Baotou Medical College,"Bombycilla garrulus (Linnaeus, 1758)",Bombycillidae,Bombycilla,garrulus,Species,M,Whole year,133
5,Baotou Medical College,"Pica pica (Linnaeus, 1758)",Corvidae,Pica,pica,Species,R,Whole year,133
5,Baotou Medical College,"Hirundo rustica (Linnaeus, 1758)",Laridae,Hirundo,rustica,Species,M,Whole year,133
5,Baotou Medical College,"Carduelis sinica (Linnaeus, 1766)",Fringillidae,Carduelis,sinica,Species,R,Whole year,133
5,Baotou Medical College,"Phoenicurus auroreus (Pallas, 1776)",Muscicapidae,Phoenicurus,auroreus,Species,M,Whole year,133
5,Baotou Medical College,"Ficedula albicilla (Pallas, 1811)",Muscicapidae,Ficedula,albicilla,Species,M,Whole year,133
5,Baotou Medical College,"Stigmatopelia chinensis (Scopoli, 1768)",Columbidae,Stigmatopelia,chinensis,Species,R,Whole year,133
5,Baotou Medical College,"Turdus ruficollis (Pallas, 1776)",Turdidae,Turdus,ruficollis,Species,M,Whole year,133
5,Baotou Medical College,"Streptopelia decaocto (Frivaldszky, 1838)",Columbidae,Streptopelia,decaocto,Species,R,Whole year,133
5,Baotou Medical College,"Tarsiger cyanurus (Pallas, 1773)",Muscicapidae,Tarsiger,cyanurus,Species,M,Whole year,133
5,Baotou Medical College,"Coccothraustes coccothraustes (Linnaeus, 1758)",Fringillidae,Coccothraustes,coccothraustes,Species,R,Whole year,133
5,Baotou Medical College,"Prunella montanella (Pallas, 1776)",Prunellidae,Prunella,montanella,Species,M,Whole year,133
5,Baotou Medical College,"Lanius cristatus (Linnaeus, 1758)",Laniidae,Lanius,cristatus,Species,M,Whole year,133
5,Baotou Medical College,"Emberiza pusilla (Pallas, 1776)",Emberizidae,Emberiza,pusilla,Species,M,Whole year,133
5,Baotou Medical College,"Calandrella cheleensis (Swinhoe, 1871)",Alaudidae,Calandrella,cheleensis,Species,R,Whole year,133
6,Baotou Teachers's College,"Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Whole year,133
6,Baotou Teachers's College,"Cyanopica cyanus (Pallas, 1776)",Corvidae,Cyanopica,cyanus,Species,R,Whole year,133
6,Baotou Teachers's College,"Streptopelia decaocto (Frivaldszky, 1838)",Columbidae,Streptopelia,decaocto,Species,R,Whole year,133
6,Baotou Teachers's College,"Pica pica (Linnaeus, 1758)",Corvidae,Pica,pica,Species,R,Whole year,133
6,Baotou Teachers's College,"Hirundo rustica (Linnaeus, 1758)",Laridae,Hirundo,rustica,Species,M,Whole year,133
6,Baotou Teachers's College,"Phoenicurus auroreus (Pallas, 1776)",Muscicapidae,Phoenicurus,auroreus,Species,M,Whole year,133
6,Baotou Teachers's College,"Carduelis sinica (Linnaeus, 1766)",Fringillidae,Carduelis,sinica,Species,R,Whole year,133
6,Baotou Teachers's College,"Tarsiger cyanurus (Pallas, 1773)",Muscicapidae,Tarsiger,cyanurus,Species,M,Whole year,133
6,Baotou Teachers's College,"Ficedula albicilla (Pallas, 1811)",Muscicapidae,Ficedula,albicilla,Species,M,Whole year,133
6,Baotou Teachers's College,"Upupa epops (Linnaeus, 1758)",Upupidae,Upupa,epops,Species,M,Whole year,133
8,Beijing Forestry University,"Corvus macrorhynchos (Wagler, 1827)",Corvidae,Corvus,macrorhynchos,Species,R,Winter,174
8,Beijing Forestry University,"Cyanopica cyanus (Pallas, 1776)",Corvidae,Cyanopica,cyanus,Species,R,Winter,174
8,Beijing Forestry University,"Eophona migratoria (Hartert, 1903)",Fringillidae,Eophona,migratoria,Species,M,Winter,174
8,Beijing Forestry University,"Falco tinnunculus (Linnaeus, 1758)",Falconidae,Falco,tinnunculus,Species,R,Winter,174
8,Beijing Forestry University,"Fringilla montifringilla (Linnaeus, 1758)",Fringillidae,Fringilla,montifringilla,Species,M,Winter,174
8,Beijing Forestry University,"Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Winter,174
8,Beijing Forestry University,"Pica pica (Linnaeus, 1758)",Corvidae,Pica,pica,Species,R,Winter,174
8,Beijing Forestry University,"Picoides canicapillus (Blyth, 1845)",Picidae,Picoides,canicapillus,Species,R,Winter,174
8,Beijing Forestry University,"Picus canus (Gmelin, 1788)",Picidae,Picus,canus,Species,R,Winter,174
8,Beijing Forestry University,"Picus major (Linnaeus, 1758)",Picidae,Picus,major,Species,R,Winter,174
8,Beijing Forestry University,"Pycnonotus sinensis (Gmelin, 1789)",Pycnonotidae,Pycnonotus,sinensis,Species,R,Winter,174
8,Beijing Forestry University,"Streptopelia capicola (Sundevall, 1857)",Columbidae,Streptopelia,capicola,Species,R,Winter,174
8,Beijing Forestry University,"Sturnus cineraceus (Temminck, 1835)",Sturnidae,Sturnus,cineraceus,Species,R,Winter,174
8,Beijing Forestry University,"Urocissa erythrorhyncha (Boddaert, 1783)",Corvidae,Urocissa,erythrorhyncha,Species,R,Winter,174
26,Chifeng University,"Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Whole year,133
26,Chifeng University,"Carduelis sinica (Linnaeus, 1766)",Fringillidae,Carduelis,sinica,Species,R,Whole year,133
26,Chifeng University,"Hirundo daurica (Laxmann, 1769)",Laridae,Hirundo,daurica,Species,M,Whole year,133
26,Chifeng University,"Pycnonotus sinensis (Gmelin, 1789)",Pycnonotidae,Pycnonotus,sinensis,Species,R,Whole year,133
26,Chifeng University,"Hirundo rustica (Linnaeus, 1758)",Laridae,Hirundo,rustica,Species,M,Whole year,133
26,Chifeng University,"Apus apus (Linnaeus, 1758)",Apodidae,Apus,apus,Species,M,Whole year,133
26,Chifeng University,"Lanius cristatus (Linnaeus, 1758)",Laniidae,Lanius,cristatus,Species,M,Whole year,133
26,Chifeng University,"Pica pica (Linnaeus, 1758)",Corvidae,Pica,pica,Species,R,Whole year,133
26,Chifeng University,"Parus ater (Linnaeus, 1758)",Paridae,Parus,ater,Species,R,Whole year,133
26,Chifeng University,"Streptopelia decaocto (Frivaldszky, 1838)",Columbidae,Streptopelia,decaocto,Species,R,Whole year,133
26,Chifeng University,"Ficedula albicilla (Pallas, 1811)",Muscicapidae,Ficedula,albicilla,Species,M,Whole year,133
26,Chifeng University,"Parus major (Linnaeus, 1758)",Paridae,Parus,major,Species,R,Whole year,133
26,Chifeng University,"Corvus corone (Linnaeus, 1758)",Corvidae,Corvus,corone,Species,R,Whole year,133
26,Chifeng University,"Corvus dauuricus (Pallas, 1776)",Corvidae,Corvus,dauuricus,Species,R,Whole year,133
26,Chifeng University,"Sturnus cineraceus (Temminck, 1835)",Sturnidae,Sturnus,cineraceus,Species,M,Whole year,133
26,Chifeng University,"Lanius isabellinus (Hemprich & Ehrenberg, 1833)",Laniidae,Lanius,isabellinus,Species,M,Whole year,133
26,Chifeng University,"Sturnus sturninus (Pallas, 1776)",Sturnidae,Sturnus,sturninus,Species,M,Whole year,133
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Zosterops japonicus (Temminck & Schlegel, 1845)",Zosteropidae,Zosterops,japonicus,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Motacilla alba (Linnaeus, 1758)",Motacillidae,Motacilla,alba,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Egretta garzetta (Linnaeus, 1766)",Ardeidae,Egretta,garzetta,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Pycnonotus sinensis (Gmelin, 1789)",Pycnonotidae,Pycnonotus,sinensis,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Glaucidium cuculoides (Vigors, 1831)",Strigidae,Glaucidium,cuculoides,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Lonchura punctulata (Linnaeus, 1758)",Estrildidae,Lonchura,punctulata,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Ardea cinerea (Linnaeus, 1758)",Ardeidae,Ardea,cinerea,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Ardeola bacchus (Bonaparte, 1855)",Ardeidae,Ardeola,bacchus,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Cuculus canorus (Linnaeus, 1758)",scolopacea,Cuculus,canorus,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Parus major (Linnaeus, 1758)",Paridae,Parus,major,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Upupa epops (Linnaeus, 1758)",Upupidae,Upupa,epops,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Gallicrex cinerea (Gmelin, 1789)",Rallidae,Gallicrex,cinerea,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Fulica atra (Linnaeus, 1758)",Rallidae,Fulica,atra,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Picus canus (Gmelin, 1788)",Picidae,Picus,canus,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Chrysolophus pictus (Linnaeus, 1758)",Phasianidae,Chrysolophus,pictus,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Rhyacornis fuliginosa (Vigors, 1831)",Muscicapidae,Rhyacornis,fuliginosa,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Leiothrix lutea (Scopoli, 1786)",Leiothrichidae,Leiothrix,lutea,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Lanius tigrinus (Drapiez, 1828)",Laniidae,Lanius,tigrinus,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Garrulax canorus (Linnaeus, 1758)",Leiothrichidae,Garrulax,canorus,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Hirundo rustica (Linnaeus, 1758)",Laridae,Hirundo,rustica,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Hirundo daurica (Laxmann, 1769)",Laridae,Hirundo,daurica,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Monticola solitarius (Linnaeus, 1758)",Muscicapidae,Monticola,solitarius,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Ixobrychus cinnamomeus (Gmelin, 1789)",Ardeidae,Ixobrychus,cinnamomeus,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Alcedo atthis (Linnaeus, 1758)",Alcedinidae,Alcedo,atthis,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Caprimulgus indicus (Latham, 1790)",Caprimulgidae,Caprimulgus,indicus,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Copsychus saularis (Linnaeus, 1758)",Muscicapidae,Copsychus,saularis,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Streptopelia orientalis (Latham, 1790)",Columbidae,Streptopelia,orientalis,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Dendronanthus indicus (Gmelin, 1789)",Motacillidae,Dendronanthus,indicus,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Turdus merula (Linnaeus, 1758)",Turdidae,Turdus,merula,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Tachybaptus ruficollis (Pallas, 1764)",Podicipedidae,Tachybaptus,ruficollis,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Nycticorax nycticorax (Linnaeus, 1758)",Ardeidae,Nycticorax,nycticorax,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Cuculus sparverioides (Vigors, 1832)",scolopacea,Cuculus,sparverioides,Species,M,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Milvus korschun (Boddaert, 1783)",Accipitridae,Milvus,korschun,Species,R,Whole year,230
31,"Chongqing University of Arts and Sciences, Xinghu Campus","Lanius schach (Linnaeus, 1758)",Laniidae,Lanius,schach,Species,R,Whole year,230
36,Dali University,"Buteo buteo (Linnaeus, 1758)",Accipitridae,Buteo,buteo,Species,M,Whole year,213
36,Dali University,"Streptopelia chinensis (Scopoli, 1786)",Columbidae,Streptopelia,chinensis,Species,R,Whole year,213
36,Dali University,"Alcedo atthis (Linnaeus, 1758)",Alcedinidae,Alcedo,atthis,Species,R,Whole year,213
36,Dali University,"Cuculus canorus (Linnaeus, 1758)",scolopacea,Cuculus,canorus,Species,M,Whole year,213
36,Dali University,"Upupa epops (Linnaeus, 1758)",Upupidae,Upupa,epops,Species,R,Whole year,213
36,Dali University,"Picoides canicapillus (Blyth, 1845)",Picidae,Picoides,canicapillus,Species,R,Whole year,213
36,Dali University,"Alauda gulgula (Franklin, 1831)",Alaudidae,Alauda,gulgula,Species,R,Whole year,213
36,Dali University,"Delichon dasypus (Bonaparte, 1850)",Hirundinidae,Delichon,dasypus,Species,M,Whole year,213
36,Dali University,"Motacilla cinerea (Tunstall, 1771)",Motacillidae,Motacilla,cinerea,Species,M,Whole year,213
36,Dali University,"Motacilla alba (Linnaeus, 1758)",Motacillidae,Motacilla,alba,Species,R,Whole year,213
36,Dali University,"Anthus hodgsoni (Richmond, 1907)",Motacillidae,Anthus,hodgsoni,Species,M,Whole year,213
36,Dali University,"Pycnonotus xanthorrhous (Anderson, 1869)",Pycnonotidae,Pycnonotus,xanthorrhous,Species,R,Whole year,213
36,Dali University,"Pycnonotus aurigaster (Vieillot, 1818)",Pycnonotidae,Pycnonotus,aurigaster,Species,R,Whole year,213
36,Dali University,"Lanius schach (Linnaeus, 1758)",Laniidae,Lanius,schach,Species,R,Whole year,213
36,Dali University,"Lanius tephronotus (Vigors, 1831)",Laniidae,Lanius,tephronotus,Species,R,Whole year,213
36,Dali University,"Dicrurus macrocercus (Vieillot, 1817)",Dicruridae,Dicrurus,macrocercus,Species,M,Whole year,213
36,Dali University,"Dicrurus leucophaeus (Vieillot, 1817)",Dicruridae,Dicrurus,leucophaeus,Species,M,Whole year,213
