LocationID,Locality,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,GrowthForm,Plant_NativenessStatus,SourceID
1,Anhui Agricultural University,Acalypha australis L.,Euphorbiaceae,Acalypha,australis,Species,Herb,Native,142
1,Anhui Agricultural University,Acer amplum Rehder,Sapindaceae,Acer,amplum,Species,Tree,Native,142
1,Anhui Agricultural University,Acer buergerianum Miq.,Sapindaceae,Acer,buergerianum,Species,Tree,Native,142
1,Anhui Agricultural University,Acer palmatum Thunb.,Sapindaceae,Acer,palmatum,Species,Tree,Nonnative,142
1,Anhui Agricultural University,Acer truncatum Bunge,Sapindaceae,Acer,truncatum,Species,Tree,Native,142
1,Anhui Agricultural University,Aglaia odorata Lour.,Meliaceae,Aglaia,odorata,Species,Tree,Native,142
1,Anhui Agricultural University,Ailanthus altissima (Mill.) Swingle,Simaroubaceae,Ailanthus,altissima,Species,Tree,Native,142
1,Anhui Agricultural University,Albizia julibrissin Durazz.,Leguminosae,Albizia,julibrissin,Species,Tree,Nonnative,142
1,Anhui Agricultural University,Alcea rosea L.,Malvaceae,Alcea,rosea,Species,Herb,Native,142
1,Anhui Agricultural University,Allium cepa L.,Amaryllidaceae,Allium,cepa,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Allium fistulosum L.,Amaryllidaceae,Allium,fistulosum,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Allium sativum L.,Amaryllidaceae,Allium,sativum,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Alocasia macrorrhizos (L.) G.Don,Araceae,Alocasia,macrorrhizos,Species,Herb,Native,142
1,Anhui Agricultural University,Aloe vera (L.) Burm.f.,Xanthorrhoeaceae,Aloe,vera,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Alopecurus aequalis Sobol.,Poaceae,Alopecurus,aequalis,Species,Herb,Native,142
1,Anhui Agricultural University,Alternanthera philoxeroides (Mart.) Griseb.,Amaranthaceae,Alternanthera,philoxeroides,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Amaranthus retroflexus L.,Amaranthaceae,Amaranthus,retroflexus,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Amaranthus tricolor L.,Amaranthaceae,Amaranthus,tricolor,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Amaranthus viridis L.,Amaranthaceae,Amaranthus,viridis,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Androsace umbellata (Lour.) Merr.,Primulaceae,Androsace,umbellata,Species,Herb,Native,142
1,Anhui Agricultural University,Apium graveolens L.,Apiaceae,Apium,graveolens,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Araucaria cunninghamii Mudie,Araucariaceae,Araucaria,cunninghamii,Species,Tree,Nonnative,142
1,Anhui Agricultural University,Arisaema heterophyllum Blume,Araceae,Arisaema,heterophyllum,Species,Herb,Native,142
1,Anhui Agricultural University,Artemisia argyi H.Lév. & Vaniot,Compositae,Artemisia,argyi,Species,Herb,Native,142
1,Anhui Agricultural University,Artemisia lavandulaefolia DC.,Compositae,Artemisia,lavandulaefolia,Species,Herb,Native,142
1,Anhui Agricultural University,Aucuba japonica Thunb.,Garryaceae,Aucuba,japonica,Species,Shrub,Nonnative,142
1,Anhui Agricultural University,Avena fatua L.,Poaceae,Avena,fatua,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Bambusa multiplex (Lour.) Raeusch. ex Schult.,Poaceae,Bambusa,multiplex,Species,Shrub,Native,142
1,Anhui Agricultural University,Bambusa multiplex 'fernleaf',Poaceae,Bambusa,multiplex,Cultivar,Shrub,Native,142
1,Anhui Agricultural University,Basella alba L.,Basellaceae,Basella,alba,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Bassia scoparia (L.) A.J.Scott,Amaranthaceae,Bassia,scoparia,Species,Herb,Native,142
1,Anhui Agricultural University,Begonia cucullata Willd.,Begoniaceae,Begonia,cucullata,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Bellis perennis L.,Compositae,Bellis,perennis,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Benincasa hispida (Thunb.) Cogn.,Cucurbitaceae,Benincasa,hispida,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Berberis thunbergii DC.,Berberidaceae,Berberis,thunbergii,Species,Shrub,Nonnative,142
1,Anhui Agricultural University,Bischofia polycarpa (H.Lév.) Airy Shaw,Phyllanthaceae,Bischofia,polycarpa,Species,Tree,Native,142
1,Anhui Agricultural University,Bougainvillea glabra Choisy,Nyctaginaceae,Bougainvillea,glabra,Species,Shrub,Nonnative,142
1,Anhui Agricultural University,Brassica cretica Lam.,Brassicaceae,Brassica,cretica,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Brassica oleracea L.,Brassicaceae,Brassica,oleracea,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Brassica oleracea f. tricolor L.,Brassicaceae,Brassica,oleracea,Forma,Herb,Nonnative,142
1,Anhui Agricultural University,Brassica rapa L.,Brassicaceae,Brassica,rapa,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Broussonetia papyrifera (L.) L'Hér. ex Vent.,Moraceae,Broussonetia,papyrifera,Species,Tree,Native,142
1,Anhui Agricultural University,Buxus bodinieri H.Lév.,Buxaceae,Buxus,bodinieri,Species,Shrub,Native,142
1,Anhui Agricultural University,Buxus megistophylla H.Lév.,Buxaceae,Buxus,megistophylla,Species,Tree,Native,142
1,Anhui Agricultural University,Buxus sinica (Rehder & E.H.Wilson) M.Cheng,Buxaceae,Buxus,sinica,Species,Tree,Native,142
1,Anhui Agricultural University,Calystegia hederacea Wall.,Convolvulaceae,Calystegia,hederacea,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Calystegia sepium (L.) R. Br.,Convolvulaceae,Calystegia,sepium,Species,Herb,Native,142
1,Anhui Agricultural University,Camellia japonica L.,Theaceae,Camellia,japonica,Species,Tree,Native,142
1,Anhui Agricultural University,Camellia sasanqua Thunb.,Theaceae,Camellia,sasanqua,Species,Tree,Nonnative,142
1,Anhui Agricultural University,Camptotheca acuminata Decne.,Cornaceae,Camptotheca,acuminata,Species,Tree,Native,142
1,Anhui Agricultural University,Canna generalis L.H. Bailey & E.Z. Bailey,Cannaceae,Canna,generalis,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Capsella bursa-pastoris (L.) Medik.,Brassicaceae,Capsella,bursa-pastoris,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Capsicum annuum L.,Solanaceae,Capsicum,annuum,Species,Shrub,Nonnative,142
1,Anhui Agricultural University,Cardamine hirsuta L.,Brassicaceae,Cardamine,hirsuta,Species,Herb,Native,142
1,Anhui Agricultural University,Carya cathayensis Sarg.,Juglandaceae,Carya,cathayensis,Species,Tree,Native,142
1,Anhui Agricultural University,Carya illinoinensis (Wangenh.) K.Koch,Juglandaceae,Carya,illinoinensis,Species,Tree,Nonnative,142
1,Anhui Agricultural University,Castanea mollissima Blume,Fagaceae,Castanea,mollissima,Species,Tree,Native,142
1,Anhui Agricultural University,Catalpa bungei C.A.Mey.,Bignoniaceae,Catalpa,bungei,Species,Tree,Nonnative,142
1,Anhui Agricultural University,Catalpa ovata G.Don,Bignoniaceae,Catalpa,ovata,Species,Tree,Native,142
1,Anhui Agricultural University,Catharanthus roseus (L.) G.Don,Apocynaceae,Catharanthus,roseus,Species,Shrub,Nonnative,142
1,Anhui Agricultural University,Cedrus deodara (Roxb. ex D.Don) G.Don,Pinaceae,Cedrus,deodara,Species,Tree,Nonnative,142
1,Anhui Agricultural University,Celosia argentea L.,Amaranthaceae,Celosia,argentea,Species,Herb,Nonnative,142
1,Anhui Agricultural University,Celtis sinensis Pers.,Cannabaceae,Celtis,sinensis,Species,Tree,Native,142
1,Anhui Agricultural University,Cerastium glomeratum Thuill.,Caryophyllaceae,Cerastium,glomeratum,Species,Herb,Native,142
1,Anhui Agricultural University,Cerasus lannesiana Carri?re,Rosaceae,Cerasus,lannesiana,Species,Tree,Nonnative,142
1,Anhui Agricultural University,Cercis chinensis Bunge,Leguminosae,Cercis,chinensis,Species,Shrub,Native,142
1,Anhui Agricultural University,Cercis glabra Pamp.,Leguminosae,Cercis,glabra,Species,Tree,Native,142
1,Anhui Agricultural University,Chaenomeles speciosa (Sweet) Nakai,Rosaceae,Chaenomeles,speciosa,Species,Shrub,Native,142
