SourceID,Source,SourceType,Source_CN
1,Bai CH (2009) Studies on the Structure and Characteristics of Plant Communities in Northern Campus-for Campus of Hohhot city as Example. (Master’s thesis). Available from China Integrated Knowledge Resources database. (UDC: 630) ,Paper,"白春花. (2009) 北方高校校园绿地植物群落结构特征的研究—以呼和浩特市高校为例. (硕士论文, 内蒙古农业大学). "
2,Bai J. (2016) The Plants in Sichuan University. Beijing: Higher Education Press.,Book,白洁. (2016) 望江芳华—四川大学校园植物图谱. 北京: 高等教育出版社
3,Bai LH. (2012) The Plants in Inner Mongolia Zhalantun Forestry University,Book,白莲花. (2012) 内蒙古扎兰屯林业学校校园植物图鉴
4,"Bai Y (2017) Study on structure characteristics of artificial plant community in campus greenland of Tarim University. Tarim University, Xinjiang.",Paper,"白阳 (2017) 塔里木大学校园绿地人工植物群落结构特征研究. (硕士论文, 塔里木大学). "
5,"Cao CL, Jiang B, Cao Y, Han BQ. (2012) Avian resources and diversity distribution in the campus of Yangtze Normal University. Hubei Agricultural Sciences, 51, 4589–4591 + 4603.",Paper,"曹长雷, 蒋兵, 曹玉, 韩邦青. (2012) 长江师范学院校园鸟类群落及多样性分布. 湖北农业科学, 51, 4589–4591 + 4603."
6,"Cao JY, Liu SP, Bai CY et al. (2008) Primary Report of Present Situation of Woody Species in Yanan University. JOURNAL OF YANAN UNIVERSITY (NATURAL SCIENCE EDITION), 27, 71-76.",Paper,"曹娟云, 刘世鹏, 白重炎 等. (2008) 延安大学校园木本植物资源现状调查初报. 延安大学学报: 自然科学版, 27, 71-76."
7,"Chai SF (2008) Investigation on Plant Resources in Jinshanhu Campus of Huizhou University. JOURNAL OF HUIZHOU UNIVERSITY, 28, 26-32.",Paper,"柴素芬, 陈巧兰, 周钰婵. (2008) 惠州学院金山湖校区植物资源调查. 惠州学院学报, 28, 26-32."
8,Chen MC. (2013) Plant Guide of Jimei University Campus. Xiamen: Xiamen University Press.,Book,陈茂才. (2013) 树说集大之美-集美大学校园植物导览手册. 厦门: 厦门大学出版社.
9,"Chen SD, Guo KJ, Chen GY, Zhou CL. (2009) Investigation on bird diversity in campus of Sichuan Normal University. Journal of Anhui Agricultural Sciences, 37, 7484–7486.",Paper,"陈顺德, 郭克疾, 陈贵英, & 周成龙. (2009) 四川师范大学校园鸟类多样性调查. 安徽农业科学, 37, 7484-7486."
10,"Chen SH, Ding P, Zheng GM, Wang YJ (2005) Bird community patterns in response to the island features of urban woodlots in eastern China. Acta Ecologica Sinica. 25, 657-663.",Paper,"陈水华, 丁平, 郑光美, 王玉军. (2005) 园林鸟类群落的岛屿性格局. 生态学报, 25, 657-663."
11,"Chen ZL, Sun BR, Huang SY. (2006) A survey of the biological status in NCPES campus. Journal of Physical Education and Sports, 16, 203-225.",Paper,"陈正霖, 孙保瑞, 黄土怡. (2005) 国立体育学院校园动植物之调查. 体育学院论丛, 16, 203-225."
12,"Cheng W, Yu WY, Zhou MX, Ren YH, Zhu J, Cao Y, Wu XW, Li ZH. (2011) Study on diversity of bird in Jiangning Higher Education Mega Center. Journal of Anhui Agricultural Sciences, 39, 7807–7808.",Paper,"程伟, 虞蔚岩, 周梅仙, 任源浩, 朱杰, & 曹洋等. (2011) 南京江宁大学城校园鸟类多样性研究—以南京晓庄学院为例. 安徽农业科学, 39, 7807-7808."
13,"Dai XG, Li FL, Nan F, et al. (2013) Investigation and Analysis on Campus Greening Situation of Jianghan University. Journal of Jianghan University Natural Science Edition, 41, 104-112.",Paper,"戴希刚, 李方良, 南芳, & 陈卫红. (2013) 江汉大学校园绿化现状调查与分析. 江汉大学学报 (自然科学版), 41, 104-112."
14,"Deng CS (2012) Avian community of reed wetland in a riparian area in Taihu lake. Available from China Integrated Knowledge Resources database. (UDC, Q958.12).",Paper,"邓昶身. (2012) 苏州太湖湖滨带芦苇湿地鸟类群落研究. (硕士论文, 南京林业大学)."
15,"Du TK, Zhang N, Gao C. (2014) Species composition and diversity of bird community in the campus of Ningxia University. Journal of Agricultural Sciences, 35, 83–88.",Paper,"杜天奎, 张宁, & 高超. (2014) 宁夏大学校园鸟类群落组成及多样性研究. 农业科学研究, 35, 83-88."
16,"Duan HS, Zhao XX. (2014) Investigation of common birds resources in Jianghan University. Journal Jianghan University (Natural Sciences Edition), 42, 91–96.",Paper,"段海生 赵学迅. (2014) 江汉大学常见鸟类资源调查. 江汉大学学报:自然科学版, 42, 91-96."
17,"Duan ZZ (2016) Current Status of Development and Application Study of Landscape Woody Plants in Taiyuan College New Campus—Take Taiyuan University New Campus for Example. JOURNAL OF TAIYUAN UNIVERSITY (NATURAL SCIENCE EDITION). 34, 59-62.",Paper,"段兆忠. (2016) 太原高校新区园林木本植物的现状及应用研究—以太原学院新校区为例. 太原学院学报(自然科学版), 34, 59-62."
