LocationID,Region,Province,City,Locality,Locality_Type,Elevation (m),decimalLatitude,decimalLongitude,MAT (℃),MAP (mm),Area (ha),EstablishedYear,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,Bird_MigrantStatus,Bird_SurveyTime,SourceID,SourceType,Source,Source_CN
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Tachybaptus ruficollis (Pallas, 1764)",Podicipedidae,Tachybaptus,ruficollis,Species,R,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Ardea cinerea (Linnaeus, 1758)",Ardeidae,Ardea,cinerea,Species,R,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Mesophoyx intermedia (Wagler, 1829)",Ardeidae,Mesophoyx,intermedia,Species,M,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Egretta garzetta (Linnaeus, 1766)",Ardeidae,Egretta,garzetta,Species,M,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Bubulcus ibis (Linnaeus, 1758)",Ardeidae,Bubulcus,ibis,Species,M,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Ardeola bacchus (Bonaparte, 1855)",Ardeidae,Ardeola,bacchus,Species,M,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Ixobrychus sinensis (Gmelin, 1789)",Ardeidae,Ixobrychus,sinensis,Species,M,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Falco tinnunculus (Linnaeus, 1758)",Falconidae,Falco,tinnunculus,Species,M,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Phasianus colchicus (Linnaeus, 1758)",Jacanidae,Phasianus,colchicus,Species,R,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Gallinula chloropus (Linnaeus, 1758)",Rallidae,Gallinula,chloropus,Species,R,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
388,Eastern,Shanghai,Shanghai,Shanghai Bay Forest Park,Park,5,30.86,121,15.96666657,1052,1065.57,1999,"Amaurornis phoenicurus (Pennant, 1769)",Rallidae,Amaurornis,phoenicurus,Species,M,Whole year,240,Paper,"Ye X (2016) The effects of urban landscape pattern on bird community structure. (Master's thesis). Available from China Integrated Knowledge Resources database. (UDC, 10269).","叶辛. (2016) 城市景观格局对鸟类群落结构的作用机制. (硕士论文, 华东师范大学)."
