LocationID,Region,Province,City,Locality,Locality_Type,Elevation (m),decimalLatitude,decimalLongitude,MAT (℃),MAP (mm),Area (ha),EstablishedYear
1,Eastern,Anhui,Hefei,Anhui Agricultural University,Campus,22,31.86474157,117.2519879,16.26250019,1142,235.2,1928
2,Eastern,Anhui,Wuhu,"Anhui Normal University, Huajin Campus",Campus,6,31.28600097,118.3736169,16.22083321,1198,151.43,1949
3,Eastern,Anhui,Chuzhou,Anhui Science and Technology University,Campus,36,32.879922,117.570109,15.52083347,839,113.3333,1950
4,Eastern,Anhui,Hefei,"Anhui University, Xinyuan Campus",Campus,29,31.77869369,117.1820802,16.0750001,1145,153,2004
5,Northwestern,Inner Mongolia,Baotou,Baotou Medical College,Campus,1069,40.61,109.98,6.658333372,310,67,1958
6,Northwestern,Inner Mongolia,Baotou,Baotou Teachers's College,Campus,1055,40.65,109.88,6.899999893,280,32.33333333,1958
7,Southern,Guangxi,Beihai,Beihai College of Beihang University,Campus,8,21.42961277,109.1813219,22.96666666,1655,80,2005
8,Northern,Beijing,Beijing,Beijing Forestry University,Campus,56,40.00067805,116.3387976,12.31666657,552,46.4,1952
9,Northern,Beijing,Beijing,"Beijing Institute of Technology, Liangxiang Campus",Campus,46,39.72901297,116.1633906,12.40416652,583,202.97,2002
10,Northern,Hebei,Qinhuangdao,"Beijing Institute of Technology, Qinhuangdao Campus",Campus,20,39.82856609,119.4970429,10.58750009,610,2,1984
11,Northern,Beijing,Beijing,"Beijing Institute of Technology, Xishanshiyan Campus",Campus,58,40.03534361,116.2251411,12.3041667,538,14.027,1986
12,Northern,Beijing,Beijing,"Beijing Institute of Technology, Zhongguancun Campus",Campus,58,39.95833841,116.3165362,12.35833332,566,70.87,1988
13,Southern,Guangdong,Zhuhai,"Beijing Normal University, Zhuhai Campus",Campus,19,22.35240767,113.5319045,22.51666645,1963,333.33,2001
14,Northern,Beijing,Beijing,Beijing University Of Agriculture,Campus,46,40.09261696,116.3024581,12.30833351,535,66.67,1958
15,Northern,Shandong,Binzhou,Binzhou University,Campus,10,37.38443053,117.9832559,13.53333334,594,162.4,1954
16,Northern,Beijing,Beijing,Capital Normal University,Campus,60,39.9288771,116.3000143,12.36249997,566,29,1954
17,Central,Hunan,Changsha,Central South University of Forestry and Technology,Campus,91,28.13658657,112.9916667,17.52500001,1392,92.53,1958
18,Central,Hunan,Changsha,"Central South University, Wangjiawan Campus",Campus,57,28.17154838,112.9261929,17.66250021,1408,386,2000
19,Northeastern,Jilin,Changchun,Changchun Normal University,Campus,197,43.91167575,125.3903557,5.108333379,604,46.03,1958
20,Central,Hunan,Changsha,Changsha Social Work College,Campus,73,28.14235639,113.0067685,17.55000009,1398,81.13,1986
21,Central,Hunan,Changsha,"Changsha University of Science & Technology, Yuntang Campus",Campus,63,28.06968064,113.004205,17.71666659,1427,138,2008
22,Northern,Shanxi,Changzhi,Changzhi University,Campus,930,36.21021301,113.1298368,10.58333337,594,9.2,1958
23,Northern,Hebei,Chengde,Chengde Medical College,Campus,365,41.03134919,117.9492291,9.075000025,479,74.9,1945
24,Southwestern,Sichuan,Chengdu,Chengdu Agricultural College,Campus,539,30.69908814,103.8138083,16.55416679,1040,29.4,1958
25,Southwestern,Sichuan,Chengdu,"Chengdu Normal University, Wenjiang Campus",Campus,530,30.67883226,103.8264446,16.59166676,1031,66.67,1955
26,Northeastern,Inner Mongolia,Chifeng,Chifeng University,Campus,581,42.24,118.92,7.441666643,366,74.13333333,2003
27,Eastern,Zhejiang,Hangzhou,"China Academy of Art, Xiangshan Campus",Campus,35,30.15808527,120.0730911,16.38749997,1343,53.33,2007
